DATE,Poland
2010M12,75.906333927663
2011M01,72.6067829291964
2011M02,72.08886096883214
2011M03,71.861695721334
2011M04,68.94924093582017
2011M05,68.61601805118306
2011M06,69.33391740658485
2011M07,70.3870407870935
2011M08,72.85795026972069
2011M09,79.48877437766221
2011M10,79.79570549027257
2011M11,81.18878992120135
2011M12,84.11579699299799
2012M01,83.68141188252162
2012M02,78.02547389520316
2012M03,77.48963311679626
2012M04,78.26902314946766
2012M05,82.48214130576974
2012M06,84.43680570218196
2012M07,83.97231767255163
2012M08,81.98282265416348
2012M09,80.2867229048114
2012M10,78.6881180094178
2012M11,79.48592102416453
2012M12,76.74765550387838
2013M01,76.66567956260933
2013M02,77.54210612032473
2013M03,79.8579458764735
2013M04,78.71069561190639
2013M05,79.65894959955101
2013M06,80.84512470470956
2013M07,81.11281653745762
2013M08,79.23020584185873
2013M09,79.25838129963397
2013M10,76.1967888568387
2013M11,76.90808144762576
2013M12,75.60016754586283
2014M01,76.31750511798528
2014M02,76.28878564856058
2014M03,76.21694125598422
2014M04,76.21666963360599
2014M05,76.79701732663602
2014M06,76.94002313072593
2014M07,77.54075232678011
2014M08,80.01038254149694
2014M09,82.61251954452496
2014M10,84.17985031279504
2014M11,85.37658628744161
2014M12,86.42845555784436
2015M01,92.19064941748391
2015M02,92.91899611773788
2015M03,96.616540807542
2015M04,94.39609591111613
2015M05,92.84235380514895
2015M06,94.69909023024414
2015M07,96.31511505729371
2015M08,96.5703133621982
2015M09,96.22189140886064
2015M10,96.86890967653147
2015M11,101.35025435407236
2015M12,100.65828418363435
2016M01,103.893801627937
2016M02,102.00420291696462
2016M03,99.77435881873112
2016M04,98.36557519475664
2016M05,101.2795662142611
2016M06,101.96627271809585
2016M07,103.43807241942541
2016M08,100.30739450436353
2016M09,101.07222340622427
2016M10,102.00618654451948
2016M11,105.66831282826546
2016M12,108.54966868675423
2017M01,106.67004130526236
2017M02,104.84881243309691
2017M03,104.24067390524947
2017M04,102.65846880829852
2017M05,98.85431117428976
2017M06,97.54250488433853
2017M07,95.80982990623176
2017M08,94.34482416567187
2017M09,93.67845505930607
2017M10,94.47149341557855
2017M11,93.24579424042835
2017M12,91.67786061694727
2018M01,88.26194053421247
2018M02,87.83061422341433
2018M03,89.40618272723096
2018M04,89.3361701150912
2018M05,94.72929983488393
2018M06,96.63883467383693
2018M07,97.39925429832296
2018M08,97.71604128943287
2018M09,96.54905002295256
2018M10,98.17289745797595
2018M11,98.88775243668488
2018M12,98.05174022255711
2019M01,98.2091857593879
2019M02,99.28325169932727
2019M03,99.79350246464512
2019M04,99.23734800419086
2019M05,100.0
