DATE,Italy
2010M12,79.55159501024032
2011M01,78.79907247411158
2011M02,77.25521812373646
2011M03,75.77536842618417
2011M04,73.5571208153857
2011M05,74.31970529299613
2011M06,73.94822788781866
2011M07,74.44075895870932
2011M08,74.01471672307761
2011M09,77.23432708998246
2011M10,76.98788445202698
2011M11,77.83558509041077
2011M12,79.56136368274674
2012M01,81.3682674883745
2012M02,79.44586393930433
2012M03,79.80494772240775
2012M04,79.90431437324324
2012M05,82.15955742269294
2012M06,83.57991578625865
2012M07,84.98488810862578
2012M08,84.36744646325079
2012M09,81.74644379422499
2012M10,80.95737034664592
2012M11,81.64972347498176
2012M12,79.47078826177507
2013M01,78.55196028356629
2013M02,78.70087033092344
2013M03,81.1536057917934
2013M04,80.6818117412377
2013M05,81.09983768188482
2013M06,79.79841912725395
2013M07,80.42063274563985
2013M08,78.82803879252052
2013M09,78.91988411934832
2013M10,77.19828549834098
2013M11,78.0678045879906
2013M12,76.71828232264996
2014M01,77.3858866089391
2014M02,77.4723012023391
2014M03,76.97260568062916
2014M04,77.13779491027728
2014M05,77.93692221461293
2014M06,78.80706960562948
2014M07,79.16203128514637
2014M08,80.20437307169513
2014M09,83.15976137690272
2014M10,84.36212678305577
2014M11,85.41293857547669
2014M12,85.90454745401286
2015M01,91.09661379189639
2015M02,93.29412681005763
2015M03,98.22226909486764
2015M04,98.75731383574714
2015M05,95.8740762669296
2015M06,95.47494427637506
2015M07,97.45834054449315
2015M08,95.91012700643428
2015M09,95.39239071370798
2015M10,95.067112085488
2015M11,99.64366700739171
2015M12,98.01057026733297
2016M01,98.53425745518251
2016M02,96.7470377704348
2016M03,96.91641377957946
2016M04,95.3968055585935
2016M05,95.7427371381512
2016M06,96.66015497361388
2016M07,97.69915773543698
2016M08,96.34970227900682
2016M09,96.76791109200148
2016M10,98.63059655644601
2016M11,100.67223323081278
2016M12,102.71933324303257
2017M01,102.31163457085815
2017M02,101.95114434257655
2017M03,101.63798708761787
2017M04,101.17782716299297
2017M05,98.39693081443264
2017M06,97.06316618396572
2017M07,94.53747947836965
2017M08,92.16053111608407
2017M09,92.0868768043821
2017M10,93.45448838490114
2017M11,93.79006582919594
2017M12,92.58409090699328
2018M01,90.06291251481696
2018M02,89.37278864987067
2018M03,89.39315153696212
2018M04,90.10096069791017
2018M05,93.75937807807824
2018M06,94.79471990122468
2018M07,94.46048596559555
2018M08,95.2689062181707
2018M09,94.93685823900424
2018M10,96.5518825617007
2018M11,97.40815326959981
2018M12,97.04272870801364
2019M01,96.8596141939952
2019M02,97.73297068098319
2019M03,98.41894212557476
2019M04,99.31284589743582
2019M05,100.0
