Country,T stat,1%,5%,10%,PPP
Belize,-1.100144,-3.501445,-2.892536,-2.583371,FALSE
Benin,-1.094099,-3.493129,-2.888932,-2.581453,FALSE
Bhutan,-2.480527,-3.525618,-2.902953,-2.588902,FALSE
Bolivia,-1.781967,-3.469933,-2.878829,-2.576067,FALSE
Bosnia and Herzegovina,-1.473902,-3.472534,-2.879966,-2.576674,FALSE
Botswana,-0.996132,-3.493129,-2.888932,-2.581453,FALSE
Brazil,-2.038418,-3.451283,-2.870651,-2.571695,FALSE
Brunei Darussalam,-0.588874,-3.493129,-2.888932,-2.581453,FALSE
Burkina Faso,-1.219563,-3.493129,-2.888932,-2.581453,FALSE
Burundi,-1.092962,-3.457747,-2.873492,-2.573215,FALSE
Cabo Verde,-0.703316,-3.470179,-2.878937,-2.576124,FALSE
Cambodia,-2.149596,-3.494378,-2.889474,-2.581741,FALSE
Cameroon,-1.642592,-3.493129,-2.888932,-2.581453,FALSE
Canada,-1.963056,-3.439384,-2.865417,-2.568891,FALSE
Central African Republic,0.921841,-3.524233,-2.902358,-2.588587,FALSE
